mode,season,route_id,route_name,dir_id,day_type_id,day_type_name,stop_name,parent_station,total_ons,total_offs,number_service_days,hour_of_service,average_ons,average_offs,average_flow,ObjectId
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Airport,place-aport,3358,7767,75,00:00:00,45,104,380,1
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Airport,place-aport,704,2121,75,01:00:00,9,28,95,2
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Airport,place-aport,145,351,75,02:00:00,2,5,17,3
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Airport,place-aport,1,2,75,03:00:00,0,0,0,4
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Airport,place-aport,3,3,75,04:00:00,0,0,0,5
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Airport,place-aport,1788,3538,75,05:00:00,24,47,104,6
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Airport,place-aport,2692,7354,75,06:00:00,36,98,207,7
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Airport,place-aport,3251,8963,75,07:00:00,43,120,253,8
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Airport,place-aport,3667,8088,75,08:00:00,49,108,262,9
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Airport,place-aport,3269,7529,75,09:00:00,44,100,278,10
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Airport,place-aport,4059,9555,75,10:00:00,54,127,390,11
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Airport,place-aport,4313,11500,75,11:00:00,58,153,451,12
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Airport,place-aport,6109,14920,75,12:00:00,81,199,608,13
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Airport,place-aport,6542,15557,75,13:00:00,87,207,687,14
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Airport,place-aport,9486,22495,75,14:00:00,126,300,1055,15
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Airport,place-aport,12127,29881,75,15:00:00,162,398,1608,16
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Airport,place-aport,12630,34042,75,16:00:00,168,454,2040,17
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Airport,place-aport,12526,37109,75,17:00:00,167,495,2243,18
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Airport,place-aport,9824,27595,75,18:00:00,131,368,1456,19
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Airport,place-aport,8912,23221,75,19:00:00,119,310,1056,20
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Airport,place-aport,8644,17068,75,20:00:00,115,228,793,21
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Airport,place-aport,9959,19794,75,21:00:00,133,264,892,22
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Airport,place-aport,10792,22149,75,22:00:00,144,295,1078,23
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Airport,place-aport,9184,19241,75,23:00:00,122,257,983,24
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Aquarium,place-aqucl,6763,424,75,00:00:00,90,6,609,25
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Aquarium,place-aqucl,1420,125,75,01:00:00,19,2,159,26
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Aquarium,place-aqucl,110,23,75,02:00:00,1,0,22,27
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Aquarium,place-aqucl,3,1,75,03:00:00,0,0,0,28
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Aquarium,place-aqucl,2,3,75,04:00:00,0,0,0,29
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Aquarium,place-aqucl,1187,754,75,05:00:00,16,10,160,30
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Aquarium,place-aqucl,2205,2487,75,06:00:00,29,33,320,31
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Aquarium,place-aqucl,3360,4373,75,07:00:00,45,58,424,32
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Aquarium,place-aqucl,3603,6554,75,08:00:00,48,87,460,33
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Aquarium,place-aqucl,3364,5980,75,09:00:00,45,80,465,34
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Aquarium,place-aqucl,3534,5003,75,10:00:00,47,67,612,35
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Aquarium,place-aqucl,4850,4967,75,11:00:00,65,66,755,36
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Aquarium,place-aqucl,6968,5120,75,12:00:00,93,68,976,37
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Aquarium,place-aqucl,9245,5710,75,13:00:00,123,76,1150,38
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Aquarium,place-aqucl,15630,7158,75,14:00:00,208,95,1799,39
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Aquarium,place-aqucl,23025,8930,75,15:00:00,307,119,2482,40
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Aquarium,place-aqucl,31540,8855,75,16:00:00,421,118,3137,41
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Aquarium,place-aqucl,33818,6871,75,17:00:00,451,92,3411,42
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Aquarium,place-aqucl,21053,5137,75,18:00:00,281,68,2274,43
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Aquarium,place-aqucl,15506,3117,75,19:00:00,207,42,1665,44
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Aquarium,place-aqucl,13518,2230,75,20:00:00,180,30,1271,45
